StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q3_21,Q3_22,Q3_23,Q4_1,Q4_2
2026-08-13 09:09:00,2026-08-13 09:10:00,IP Address,,100,54,True,2026-08-13 09:10:10,R_SAMPLE_009,Silva,Amara,student09@example.edu,,,,email,EN,Amara Silva,4,2,17,12,16,9,18,22,7,1,21,8,15,20,10,5,13,4,6,19,11,3,14,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:10:00,2026-08-13 09:11:00,IP Address,,100,55,True,2026-08-13 09:11:10,R_SAMPLE_010,Kim,Daniel,student10@example.edu,,,,email,EN,Daniel Kim,5,10,22,2,12,4,13,17,9,19,1,8,14,7,16,3,21,11,5,18,20,15,6,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:11:00,2026-08-13 09:12:00,IP Address,,100,56,True,2026-08-13 09:12:10,R_SAMPLE_011,Singh,Nina,student11@example.edu,,,,email,EN,Nina Singh,6,8,5,18,20,11,1,19,17,2,22,12,21,7,13,15,16,14,10,9,6,3,4,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:12:00,2026-08-13 09:13:00,IP Address,,100,57,True,2026-08-13 09:13:10,R_SAMPLE_012,Park,Mateo,student12@example.edu,,,,email,EN,Mateo Park,3,22,4,9,12,14,8,13,16,21,18,2,11,20,5,10,3,15,17,1,7,19,6,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:13:00,2026-08-13 09:14:00,IP Address,,100,58,True,2026-08-13 09:14:10,R_SAMPLE_013,Hassan,Priya,student13@example.edu,,,,email,EN,Priya Hassan,4,7,5,1,11,6,4,14,3,17,20,12,9,15,13,8,21,18,22,2,16,19,10,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:14:00,2026-08-13 09:15:00,IP Address,,100,59,True,2026-08-13 09:15:10,R_SAMPLE_014,Rivera,Omar,student14@example.edu,,,,email,EN,Omar Rivera,5,10,17,11,19,9,8,12,13,20,6,21,14,1,7,5,3,4,18,15,2,16,22,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:15:00,2026-08-13 09:16:00,IP Address,,100,60,True,2026-08-13 09:16:10,R_SAMPLE_015,Iyer,Lena,student15@example.edu,,,,email,EN,Lena Iyer,6,19,7,20,8,21,9,2,14,3,6,11,5,13,12,16,18,1,22,10,4,15,17,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:16:00,2026-08-13 09:17:00,IP Address,,100,61,True,2026-08-13 09:17:10,R_SAMPLE_016,Chen,Wei,student16@example.edu,,,,email,EN,Wei Chen,3,12,16,8,1,5,6,19,17,7,4,22,2,20,18,9,3,13,14,11,21,10,15,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:17:00,2026-08-13 09:18:00,IP Address,,100,62,True,2026-08-13 09:18:10,R_SAMPLE_017,Rao,Diego,student17@example.edu,,,,email,EN,Diego Rao,4,1,18,20,13,17,5,10,9,21,16,11,14,8,15,19,6,2,22,7,12,4,3,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:18:00,2026-08-13 09:19:00,IP Address,,100,63,True,2026-08-13 09:19:10,R_SAMPLE_018,Morales,Hana,student18@example.edu,,,,email,EN,Hana Morales,5,5,12,18,7,14,17,1,16,4,9,19,11,2,20,21,8,3,13,6,22,15,10,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:19:00,2026-08-13 09:20:00,IP Address,,100,64,True,2026-08-13 09:20:10,R_SAMPLE_019,Martinez,Ravi,student19@example.edu,,,,email,EN,Ravi Martinez,6,9,16,3,1,20,13,2,6,10,14,5,21,12,19,11,22,15,4,7,17,8,18,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:20:00,2026-08-13 09:21:00,IP Address,,100,65,True,2026-08-13 09:21:10,R_SAMPLE_020,Farah,Elena,student20@example.edu,,,,email,EN,Elena Farah,3,1,11,9,5,21,7,4,2,22,19,16,3,18,15,17,13,10,20,14,6,12,8,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:21:00,2026-08-13 09:22:00,IP Address,,100,66,True,2026-08-13 09:22:10,R_SAMPLE_021,Patel,Grace,student21@example.edu,,,,email,EN,Grace Patel,4,11,6,4,14,18,22,1,15,7,5,3,17,16,8,20,10,19,2,9,13,12,21,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:22:00,2026-08-13 09:23:00,IP Address,,100,67,True,2026-08-13 09:23:10,R_SAMPLE_022,Johnson,Leo,student22@example.edu,,,,email,EN,Leo Johnson,5,8,10,16,22,17,3,7,6,4,13,14,18,15,5,21,19,12,2,20,11,9,1,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:23:00,2026-08-13 09:24:00,IP Address,,100,68,True,2026-08-13 09:24:10,R_SAMPLE_023,Novak,Fatima,student23@example.edu,,,,email,EN,Fatima Novak,6,5,17,9,2,8,6,15,3,4,19,7,22,12,21,10,1,18,13,16,14,20,11,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:24:00,2026-08-13 09:25:00,IP Address,,100,69,True,2026-08-13 09:25:10,R_SAMPLE_024,Nguyen,Arjun,student24@example.edu,,,,email,EN,Arjun Nguyen,3,6,4,9,20,8,13,11,18,12,21,19,2,22,7,15,16,5,17,10,1,3,14,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:25:00,2026-08-13 09:26:00,IP Address,,100,70,True,2026-08-13 09:26:10,R_SAMPLE_025,Okafor,Clara,student25@example.edu,,,,email,EN,Clara Okafor,4,1,3,13,20,22,15,18,16,19,7,2,8,6,11,10,17,14,5,4,21,9,12,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:26:00,2026-08-13 09:27:00,IP Address,,100,71,True,2026-08-13 09:27:10,R_SAMPLE_026,Zhang,Min,student26@example.edu,,,,email,EN,Min Zhang,5,16,17,1,4,7,13,22,15,14,11,3,6,5,21,10,2,8,18,19,12,20,9,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:27:00,2026-08-13 09:28:00,IP Address,,100,72,True,2026-08-13 09:28:10,R_SAMPLE_027,Garcia,Sara,student27@example.edu,,,,email,EN,Sara Garcia,6,22,19,11,12,15,6,8,21,5,17,1,9,18,7,2,10,20,16,14,4,13,3,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:28:00,2026-08-13 09:29:00,IP Address,,100,73,True,2026-08-13 09:29:10,R_SAMPLE_028,Lee,Julian,student28@example.edu,,,,email,EN,Julian Lee,3,17,21,4,18,7,5,15,13,20,8,22,1,16,3,2,9,14,6,11,19,10,12,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:29:00,2026-08-13 09:30:00,IP Address,,100,74,True,2026-08-13 09:30:10,R_SAMPLE_029,Silva,Yara,student29@example.edu,,,,email,EN,Yara Silva,4,7,15,14,9,16,20,3,8,17,19,22,21,5,6,11,13,4,2,12,1,18,10,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:30:00,2026-08-13 09:31:00,IP Address,,100,75,True,2026-08-13 09:31:10,R_SAMPLE_030,Kim,Ben,student30@example.edu,,,,email,EN,Ben Kim,5,15,21,12,22,11,5,6,9,4,14,1,2,19,8,7,10,18,16,20,3,17,13,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:31:00,2026-08-13 09:32:00,IP Address,,100,76,True,2026-08-13 09:32:10,R_SAMPLE_031,Singh,Maya,student31@example.edu,,,,email,EN,Maya Singh,6,8,18,4,20,5,17,7,13,14,22,21,19,10,16,3,15,2,1,9,12,11,6,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:32:00,2026-08-13 09:33:00,IP Address,,100,77,True,2026-08-13 09:33:10,R_SAMPLE_032,Park,Liam,student32@example.edu,,,,email,EN,Liam Park,3,1,19,6,16,20,10,13,21,14,11,12,15,3,2,18,7,8,4,9,22,5,17,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:33:00,2026-08-13 09:34:00,IP Address,,100,78,True,2026-08-13 09:34:10,R_SAMPLE_033,Hassan,Sofia,student33@example.edu,,,,email,EN,Sofia Hassan,4,14,17,13,20,16,15,3,10,6,2,4,21,19,1,7,5,22,18,9,12,8,11,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:34:00,2026-08-13 09:35:00,IP Address,,100,79,True,2026-08-13 09:35:10,R_SAMPLE_034,Rivera,Noah,student34@example.edu,,,,email,EN,Noah Rivera,5,22,12,3,15,8,14,10,7,21,17,11,16,19,9,13,6,1,4,18,5,20,2,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:35:00,2026-08-13 09:36:00,IP Address,,100,80,True,2026-08-13 09:36:10,R_SAMPLE_035,Iyer,Aisha,student35@example.edu,,,,email,EN,Aisha Iyer,6,9,22,5,8,15,14,12,7,16,20,17,19,4,3,6,13,21,10,1,11,18,2,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:36:00,2026-08-13 09:37:00,IP Address,,100,81,True,2026-08-13 09:37:10,R_SAMPLE_036,Chen,Ethan,student36@example.edu,,,,email,EN,Ethan Chen,3,19,17,4,10,11,7,9,5,8,14,22,21,20,13,1,2,15,6,16,18,12,3,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:37:00,2026-08-13 09:38:00,IP Address,,100,82,True,2026-08-13 09:38:10,R_SAMPLE_037,Rao,Isabella,student37@example.edu,,,,email,EN,Isabella Rao,4,6,20,18,22,10,7,17,19,12,13,2,9,16,1,4,5,14,8,11,21,15,3,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:38:00,2026-08-13 09:39:00,IP Address,,100,83,True,2026-08-13 09:39:10,R_SAMPLE_038,Morales,Lucas,student38@example.edu,,,,email,EN,Lucas Morales,5,16,21,8,2,6,17,9,5,19,12,4,15,10,22,7,1,20,3,18,13,11,14,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:39:00,2026-08-13 09:40:00,IP Address,,100,84,True,2026-08-13 09:40:10,R_SAMPLE_039,Martinez,Amara,student39@example.edu,,,,email,EN,Amara Martinez,6,21,13,7,15,2,19,5,14,9,16,3,10,6,20,18,1,8,4,17,12,22,11,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:40:00,2026-08-13 09:41:00,IP Address,,100,85,True,2026-08-13 09:41:10,R_SAMPLE_040,Farah,Daniel,student40@example.edu,,,,email,EN,Daniel Farah,3,21,17,8,2,11,3,20,15,7,4,22,16,13,6,9,19,5,14,12,1,18,10,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:41:00,2026-08-13 09:42:00,IP Address,,100,86,True,2026-08-13 09:42:10,R_SAMPLE_041,Patel,Nina,student41@example.edu,,,,email,EN,Nina Patel,4,1,6,11,3,16,12,7,21,20,5,19,10,17,2,15,22,8,9,4,18,13,14,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:42:00,2026-08-13 09:43:00,IP Address,,100,87,True,2026-08-13 09:43:10,R_SAMPLE_042,Johnson,Mateo,student42@example.edu,,,,email,EN,Mateo Johnson,5,4,16,10,13,15,8,7,2,19,20,1,3,9,6,14,12,18,5,21,22,17,11,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:43:00,2026-08-13 09:44:00,IP Address,,100,88,True,2026-08-13 09:44:10,R_SAMPLE_043,Novak,Priya,student43@example.edu,,,,email,EN,Priya Novak,6,20,17,13,22,9,2,21,12,8,10,7,19,16,18,15,5,4,1,11,3,14,6,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:44:00,2026-08-13 09:45:00,IP Address,,100,89,True,2026-08-13 09:45:10,R_SAMPLE_044,Nguyen,Omar,student44@example.edu,,,,email,EN,Omar Nguyen,3,17,9,1,4,21,8,14,19,15,10,11,3,16,2,18,6,5,12,7,22,20,13,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:45:00,2026-08-13 09:46:00,IP Address,,100,90,True,2026-08-13 09:46:10,R_SAMPLE_045,Okafor,Lena,student45@example.edu,,,,email,EN,Lena Okafor,4,12,2,3,5,17,14,13,16,18,20,11,22,7,6,19,4,9,1,15,21,10,8,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:46:00,2026-08-13 09:47:00,IP Address,,100,91,True,2026-08-13 09:47:10,R_SAMPLE_046,Zhang,Wei,student46@example.edu,,,,email,EN,Wei Zhang,5,11,10,1,15,5,20,21,19,3,7,6,8,12,18,16,13,22,4,14,17,9,2,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:47:00,2026-08-13 09:48:00,IP Address,,100,92,True,2026-08-13 09:48:10,R_SAMPLE_047,Garcia,Diego,student47@example.edu,,,,email,EN,Diego Garcia,6,16,3,2,12,14,21,10,1,17,20,8,6,4,7,9,22,18,15,19,5,13,11,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:48:00,2026-08-13 09:49:00,IP Address,,100,93,True,2026-08-13 09:49:10,R_SAMPLE_048,Lee,Hana,student48@example.edu,,,,email,EN,Hana Lee,3,11,8,18,4,17,19,10,9,15,5,16,3,6,14,13,22,1,12,20,7,21,2,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:49:00,2026-08-13 09:50:00,IP Address,,100,94,True,2026-08-13 09:50:10,R_SAMPLE_049,Silva,Ravi,student49@example.edu,,,,email,EN,Ravi Silva,4,16,11,3,18,7,20,2,21,10,12,13,15,19,8,4,6,9,5,17,14,22,1,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:50:00,2026-08-13 09:51:00,IP Address,,100,95,True,2026-08-13 09:51:10,R_SAMPLE_050,Kim,Elena,student50@example.edu,,,,email,EN,Elena Kim,5,22,3,4,6,18,2,20,7,8,14,13,5,19,10,16,1,21,12,15,11,17,9,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:51:00,2026-08-13 09:52:00,IP Address,,100,96,True,2026-08-13 09:52:10,R_SAMPLE_051,Singh,Grace,student51@example.edu,,,,email,EN,Grace Singh,6,17,22,20,5,12,16,10,2,11,18,8,14,15,21,7,4,9,19,13,6,1,3,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:52:00,2026-08-13 09:53:00,IP Address,,100,97,True,2026-08-13 09:53:10,R_SAMPLE_052,Park,Leo,student52@example.edu,,,,email,EN,Leo Park,3,18,8,2,3,13,7,12,11,20,14,22,9,1,17,6,4,15,16,19,5,10,21,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:53:00,2026-08-13 09:54:00,IP Address,,100,98,True,2026-08-13 09:54:10,R_SAMPLE_053,Hassan,Fatima,student53@example.edu,,,,email,EN,Fatima Hassan,4,3,16,19,6,9,14,5,12,4,10,2,20,21,8,18,7,1,17,15,11,22,13,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:54:00,2026-08-13 09:55:00,IP Address,,100,99,True,2026-08-13 09:55:10,R_SAMPLE_054,Rivera,Arjun,student54@example.edu,,,,email,EN,Arjun Rivera,5,18,14,9,3,8,15,1,13,21,12,6,17,11,5,20,4,2,19,16,7,22,10,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:55:00,2026-08-13 09:56:00,IP Address,,100,100,True,2026-08-13 09:56:10,R_SAMPLE_055,Iyer,Clara,student55@example.edu,,,,email,EN,Clara Iyer,6,20,16,1,21,3,7,10,12,5,4,6,19,14,2,13,18,8,22,9,11,15,17,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:56:00,2026-08-13 09:57:00,IP Address,,100,101,True,2026-08-13 09:57:10,R_SAMPLE_056,Chen,Min,student56@example.edu,,,,email,EN,Min Chen,3,22,2,9,1,21,20,17,15,11,8,16,19,13,4,7,6,12,14,10,18,5,3,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:57:00,2026-08-13 09:58:00,IP Address,,100,102,True,2026-08-13 09:58:10,R_SAMPLE_057,Rao,Sara,student57@example.edu,,,,email,EN,Sara Rao,4,21,5,13,9,14,11,19,7,3,2,8,18,22,4,10,17,16,15,1,12,20,6,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:58:00,2026-08-13 09:59:00,IP Address,,100,103,True,2026-08-13 09:59:10,R_SAMPLE_058,Morales,Julian,student58@example.edu,,,,email,EN,Julian Morales,5,14,15,10,4,3,2,5,8,21,1,18,7,6,19,11,20,13,16,9,12,22,17,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:59:00,2026-08-13 09:60:00,IP Address,,100,104,True,2026-08-13 09:60:10,R_SAMPLE_059,Martinez,Yara,student59@example.edu,,,,email,EN,Yara Martinez,6,14,6,2,15,13,21,10,22,3,4,17,7,8,19,1,20,16,12,11,9,5,18,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:60:00,2026-08-13 09:61:00,IP Address,,100,105,True,2026-08-13 09:61:10,R_SAMPLE_060,Farah,Ben,student60@example.edu,,,,email,EN,Ben Farah,3,22,16,14,6,17,2,12,19,1,21,18,7,8,10,15,11,3,4,20,13,9,5,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
